target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.627,30,2.394,3.3,647000000000000000000,79790000000000,3.7
aluminium,5.0,30,6.0,8.0,275900000000000000000,200000000000000,10.0
polypropylene,10.0,500,132.03,4.348,1233000000000000000000,264100000000000,40.0
polystyrene,0.3,500,128.79,3.495,1862000000000000000000,257600000000000,80.0
plastic,0.769,30,2.4,3.3,648700000000000000000,80010000000000,4.0
gold,4.0,4600,22.275,3.202,41700000000000000000,4842000000000,7.2
plastic,0.913,279,2.358,3.3,68530000000000000000,8452000000000,5.4
plastic,0.998,30,2.327,3.3,628800000000000000000,77560000000000,6.2
plastic,0.44,463,2.371,3.3,41530000000000000000,5121000000000,4.4
plastic,0.294,30,2.319,3.3,626600000000000000000,77280000000000,4.4
