target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
aluminium,5.0,30,6.0,8.0,275900000000000000000,200000000000000,10.0
gold,4.0,475,90.558,2.222,3410000000000000000000,190600000000000,41.5
gold,4.0,6200,113.805,4.406,83490000000000000000,18360000000000,18.0
plastic,0.898,142,2.357,3.3,134600000000000000000,16600000000000,4.0
plastic,1.003,279,2.355,3.3,68450000000000000000,8442000000000,4.8
plastic,0.684,30,2.336,3.3,631300000000000000000,77850000000000,3.8
plastic,0.553,30,2.341,3.3,632800000000000000000,78050000000000,4.8
plastic,0.773,30,2.383,3.3,644000000000000000000,79420000000000,6.8
plastic,0.295,30,2.299,3.3,621400000000000000000,76640000000000,5.5
plastic,1.062,279,2.327,3.3,67630000000000000000,8341000000000,3.8
plastic,0.891,279,2.336,3.3,67890000000000000000,8373000000000,6.2
plastic,0.744,30,2.417,3.3,653200000000000000000,80560000000000,4.0
plastic,0.817,30,2.397,3.3,648000000000000000000,79920000000000,6.8
plastic,0.844,279,2.395,3.3,69610000000000000000,8585000000000,6.2
plastic,0.345,30,2.365,3.3,639200000000000000000,78830000000000,4.0
plastic,0.731,30,2.423,3.3,654800000000000000000,80760000000000,6.2
plastic,0.561,80,2.4,3.3,243300000000000000000,30000000000000,4.0
plastic,0.107,30,2.298,3.3,621100000000000000000,76600000000000,4.5
plastic,0.355,30,2.317,3.3,626300000000000000000,77240000000000,5.5
plastic,0.749,279,2.365,3.3,68730000000000000000,8477000000000,4.5
plastic,0.561,279,2.375,3.3,69020000000000000000,8513000000000,4.8
plastic,0.58,30,2.312,3.3,624900000000000000000,77080000000000,8.0
plastic,0.543,30,2.324,3.3,628200000000000000000,77480000000000,5.5
plastic,0.125,30,2.352,3.3,635800000000000000000,78410000000000,3.8
plastic,0.125,30,2.275,3.3,615000000000000000000,75850000000000,4.5
plastic,0.599,187,2.416,3.3,104800000000000000000,12920000000000,6.8
plastic,0.815,30,2.302,3.3,622200000000000000000,76730000000000,6.2
plastic,0.441,463,2.394,3.3,41930000000000000000,5171000000000,4.4
plastic,0.685,30,2.419,3.3,653900000000000000000,80650000000000,4.3
plastic,0.772,187,2.343,3.3,101600000000000000000,12530000000000,4.5
plastic,0.67,279,2.312,3.3,67180000000000000000,8286000000000,3.8
plastic,0.677,187,2.413,3.3,104600000000000000000,12900000000000,4.0
plastic,0.56,30,2.371,3.3,640800000000000000000,79030000000000,5.4
plastic,0.899,187,2.375,3.3,103000000000000000000,12700000000000,4.8
plastic,0.266,30,2.342,3.3,632900000000000000000,78050000000000,4.0
plastic,0.839,463,2.355,3.3,41250000000000000000,5087000000000,5.5
plastic,0.938,279,2.345,3.3,68140000000000000000,8404000000000,5.5
plastic,0.572,30,2.41,3.3,651300000000000000000,80320000000000,4.0
plastic,0.792,279,2.388,3.3,69410000000000000000,8561000000000,5.5
plastic,0.763,30,2.422,3.3,654700000000000000000,80740000000000,4.0
plastic,0.55,30,2.419,3.3,653900000000000000000,80640000000000,6.2
plastic,0.28,80,2.443,3.3,247600000000000000000,30540000000000,4.3
plastic,0.833,279,2.373,3.3,68970000000000000000,8507000000000,4.8
plastic,0.761,30,2.411,3.3,651500000000000000000,80350000000000,4.3
plastic,0.611,30,2.427,3.3,655800000000000000000,80890000000000,6.8
plastic,0.955,142,2.303,3.3,131500000000000000000,16220000000000,6.2
plastic,0.675,30,2.403,3.3,649500000000000000000,80100000000000,4.8
polypropylene,0.8,500,146.61,4.406,1334000000000000000000,293200000000000,54.5
polystyrene,1.5,500,157.95,2.59,4159000000000000000000,315900000000000,55.0
plastic,0.489,80,2.408,3.3,244000000000000000000,30090000000000,4.3
