target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.275,30,2.274,3.3,614500000000000000000,75790000000000,4.0
plastic,0.28,187,1.537,3.3,66640000000000000000,8218000000000,4.0
aluminium,5.0,30,6.0,8.0,275900000000000000000,200000000000000,10.0
polystyrene,0.3,500,128.79,3.495,1862000000000000000000,257600000000000,80.0
plastic,0.591,30,2.395,3.3,647200000000000000000,79820000000000,6.8
plastic,0.7,279,2.319,3.3,67380000000000000000,8310000000000,5.5
copper,15.0,10000,982.0,40.0,5419000000000000000,98200000000000,36.0
ch,10.0,610,187.0,50.0,10830000000000000000,306600000000000,27.0
titanium,33.0,1600,1100.0,100.0,6071000000000000000,687500000000000,18.0
plastic,0.099,30,2.347,3.3,634400000000000000000,78240000000000,4.5
