target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
gold,4.0,475,2.268,4.427,21520000000000000000,4775000000000,8.2
gold,4.0,475,110.322,2.428,3479000000000000000000,232300000000000,41.4
gold,4.0,950,65.043,2.696,831800000000000000000,68470000000000,30.2
gold,4.0,475,47.142,3.745,624800000000000000000,99250000000000,8.2
gold,4.0,2280,19.359,2.93,87330000000000000000,8491000000000,14.4
gold,4.0,475,7.128,2.661,187200000000000000000,15010000000000,12.0
gold,4.0,1900,6.966,2.284,62040000000000000000,3666000000000,18.1
gold,4.0,4568,81.648,3.544,125600000000000000000,17870000000000,10.8
plastic,0.741,279,2.352,3.3,68340000000000000000,8428000000000,4.0
plastic,0.853,279,2.309,3.3,67110000000000000000,8277000000000,5.5
plastic,0.582,187,2.429,3.3,105300000000000000000,12990000000000,6.8
plastic,0.622,463,2.374,3.3,41580000000000000000,5128000000000,6.2
plastic,0.794,30,2.397,3.3,648000000000000000000,79910000000000,4.8
plastic,0.281,30,2.333,3.3,630700000000000000000,77780000000000,6.8
plastic,0.275,30,2.274,3.3,614500000000000000000,75790000000000,4.0
plastic,0.549,30,2.328,3.3,629200000000000000000,77600000000000,4.8
plastic,0.28,80,2.443,3.3,247600000000000000000,30540000000000,4.3
plastic,0.637,30,2.385,3.3,644700000000000000000,79510000000000,4.5
plastic,0.287,30,2.312,3.3,624800000000000000000,77060000000000,4.0
plastic,0.526,30,2.383,3.3,644200000000000000000,79440000000000,5.5
plastic,0.494,30,2.369,3.3,640200000000000000000,78960000000000,4.5
plastic,0.274,30,2.271,3.3,613900000000000000000,75710000000000,4.0
plastic,0.265,30,2.262,3.3,611400000000000000000,75410000000000,4.0
plastic,0.779,30,2.42,3.3,653900000000000000000,80650000000000,6.8
plastic,0.846,80,2.364,3.3,239600000000000000000,29550000000000,5.0
plastic,0.632,30,2.316,3.3,626000000000000000000,77200000000000,3.8
plastic,0.547,30,2.381,3.3,643600000000000000000,79380000000000,3.7
plastic,0.763,30,2.422,3.3,654700000000000000000,80740000000000,4.0
plastic,0.7,279,2.366,3.3,68760000000000000000,8480000000000,5.5
plastic,0.631,30,2.295,3.3,620400000000000000000,76510000000000,6.2
plastic,0.771,463,2.331,3.3,40820000000000000000,5034000000000,5.5
plastic,0.672,30,2.291,3.3,619200000000000000000,76360000000000,6.2
plastic,0.538,80,2.402,3.3,243400000000000000000,30020000000000,4.8
plastic,0.764,30,2.401,3.3,648900000000000000000,80030000000000,6.2
plastic,0.607,80,2.429,3.3,246200000000000000000,30370000000000,6.8
plastic,0.836,30,2.394,3.3,647200000000000000000,79810000000000,5.5
plastic,0.3,30,2.27,3.3,613500000000000000000,75670000000000,4.5
plastic,0.834,279,2.315,3.3,67280000000000000000,8297000000000,4.8
plastic,0.825,279,2.368,3.3,68810000000000000000,8486000000000,6.2
plastic,0.528,30,2.344,3.3,633500000000000000000,78130000000000,4.8
plastic,0.279,30,2.257,3.3,610000000000000000000,75240000000000,4.0
plastic,0.623,463,2.423,3.3,42430000000000000000,5233000000000,5.5
plastic,0.735,279,2.324,3.3,67540000000000000000,8330000000000,4.8
plastic,0.283,30,2.328,3.3,629200000000000000000,77600000000000,4.8
plastic,0.951,279,2.323,3.3,67500000000000000000,8325000000000,5.5
plastic,0.873,80,2.307,3.3,233800000000000000000,28840000000000,6.2
plastic,0.788,279,2.328,3.3,67650000000000000000,8343000000000,4.5
plastic,0.844,279,2.395,3.3,69610000000000000000,8585000000000,6.2
plastic,0.741,279,2.38,3.3,69160000000000000000,8530000000000,4.8
plastic,0.64,30,2.406,3.3,650200000000000000000,80200000000000,6.2
plastic,0.527,30,2.351,3.3,635600000000000000000,78380000000000,3.4
plastic,0.531,30,2.418,3.3,653600000000000000000,80610000000000,6.0
plastic,0.252,30,2.344,3.3,633600000000000000000,78140000000000,5.5
plastic,0.565,30,2.305,3.3,623000000000000000000,76840000000000,6.2
plastic,0.779,279,2.349,3.3,68280000000000000000,8421000000000,5.5
plastic,0.541,30,2.441,3.3,659800000000000000000,81370000000000,6.2
plastic,0.768,279,2.328,3.3,67650000000000000000,8343000000000,5.0
