target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.263,30,2.327,3.3,628900000000000000000,77560000000000,4.8
plastic,0.27,30,2.338,3.3,632000000000000000000,77950000000000,4.8
aluminium,6.0,60,7.0,15.0,45780000000000000000,116700000000000,8.0
polypropylene,0.1,500,135.27,4.458,1202000000000000000000,270500000000000,49.25
plastic,0.316,30,2.326,3.3,628600000000000000000,77530000000000,4.5
plastic,0.564,279,1.574,3.3,45740000000000000000,5641000000000,3.8
plastic,0.55,80,2.409,3.3,244200000000000000000,30110000000000,4.4
gold,4.0,475,2.268,4.427,21520000000000000000,4775000000000,8.2
plastic,0.895,279,2.338,3.3,67940000000000000000,8379000000000,6.2
plastic,0.767,279,2.347,3.3,68200000000000000000,8411000000000,5.5
plastic,0.125,30,2.275,3.3,615000000000000000000,75850000000000,4.5
plastic,0.597,279,1.597,3.3,46410000000000000000,5724000000000,4.8
plastic,0.269,30,2.339,3.3,632100000000000000000,77960000000000,4.8
plastic,0.273,30,2.317,3.3,626100000000000000000,77220000000000,3.8
plastic,0.43,30,2.33,3.3,629700000000000000000,77660000000000,4.2
plastic,0.739,30,2.369,3.3,640400000000000000000,78980000000000,4.4
plastic,0.695,30,2.433,3.3,657500000000000000000,81080000000000,6.2
plastic,0.727,80,1.55,3.3,157100000000000000000,19380000000000,5.5
plastic,0.291,30,2.335,3.3,631200000000000000000,77840000000000,4.8
polystyrene,1.5,500,135.27,3.473,1980000000000000000000,270500000000000,75.0
plastic,0.958,80,2.308,3.3,234000000000000000000,28850000000000,6.2
plastic,0.502,80,2.402,3.3,243500000000000000000,30030000000000,4.0
plastic,0.673,279,1.561,3.3,45360000000000000000,5594000000000,4.8
plastic,0.356,463,2.426,3.3,42490000000000000000,5241000000000,4.4
plastic,0.579,80,2.485,3.3,251900000000000000000,31070000000000,6.8
