target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
gold,4.0,2280,8.991,2.459,57580000000000000000,3943000000000,8.9
gold,4.0,475,8.91,2.2,342200000000000000000,18760000000000,11.5
gold,4.0,475,19.521,2.429,615000000000000000000,41100000000000,12.0
gold,4.0,3424,53.055,3.193,134200000000000000000,15500000000000,13.2
gold,4.0,4568,40.662,2.902,93360000000000000000,8901000000000,16.0
gold,4.0,4568,63.261,4.424,62480000000000000000,13850000000000,16.5
gold,4.0,475,27.945,2.915,611500000000000000000,58830000000000,18.2
gold,4.0,1830,121.338,2.685,812200000000000000000,66300000000000,26.6
gold,4.0,950,65.367,2.676,848600000000000000000,68810000000000,30.2
gold,4.0,475,112.185,2.863,2545000000000000000000,236200000000000,38.9
gold,4.0,475,97.929,3.385,1588000000000000000000,206200000000000,41.5
gold,4.0,475,95.337,4.317,951000000000000000000,200700000000000,45.6
plastic,0.81,30,2.399,3.3,648400000000000000000,79970000000000,6.1
plastic,0.601,30,2.443,3.3,660200000000000000000,81430000000000,6.1
plastic,0.791,30,2.443,3.3,660300000000000000000,81440000000000,6.1
plastic,0.775,279,2.343,3.3,68090000000000000000,8397000000000,3.8
plastic,0.291,30,2.299,3.3,621200000000000000000,76620000000000,3.8
plastic,0.629,187,2.406,3.3,104300000000000000000,12870000000000,6.8
plastic,0.739,279,2.346,3.3,68190000000000000000,8410000000000,4.0
plastic,0.545,30,2.448,3.3,661700000000000000000,81610000000000,6.1
plastic,0.646,30,2.323,3.3,628000000000000000000,77450000000000,6.2
plastic,0.753,463,2.342,3.3,41010000000000000000,5057000000000,4.8
plastic,1.011,279,2.339,3.3,67990000000000000000,8385000000000,5.5
plastic,0.764,30,2.401,3.3,648900000000000000000,80030000000000,6.2
plastic,0.435,30,2.366,3.3,639500000000000000000,78880000000000,4.8
plastic,0.783,30,2.449,3.3,662000000000000000000,81640000000000,6.0
plastic,0.788,279,2.328,3.3,67650000000000000000,8343000000000,4.5
