target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
aluminium,5.0,1500,270.0,60.0,4415000000000000000,180000000000000,16.0
gold,4.0,475,101.898,2.279,3648000000000000000000,214500000000000,41.5
gold,10.0,500,126.765,3.34,2007000000000000000000,253500000000000,29.8
gold,10.0,500,122.634,2.664,3051000000000000000000,245300000000000,30.1
gold,4.0,475,90.558,2.222,3410000000000000000000,190600000000000,41.5
gold,1.0,500,126.603,2.437,3764000000000000000000,253200000000000,40.0
gold,4.0,475,118.098,2.53,3429000000000000000000,248600000000000,41.6
gold,4.0,475,8.91,2.2,342200000000000000000,18760000000000,11.5
gold,4.0,3424,53.055,4.442,69350000000000000000,15500000000000,14.8
plastic,0.617,30,2.344,3.3,633600000000000000000,78140000000000,5.5
plastic,0.63,279,1.568,3.3,45580000000000000000,5621000000000,4.0
plastic,0.264,30,1.553,3.3,419900000000000000000,51780000000000,4.5
plastic,0.281,30,2.297,3.3,620800000000000000000,76570000000000,4.8
plastic,0.94,279,2.349,3.3,68250000000000000000,8418000000000,5.5
plastic,0.549,463,2.336,3.3,40910000000000000000,5045000000000,4.5
plastic,0.256,30,1.442,3.3,389800000000000000000,48070000000000,3.8
plastic,0.561,80,2.4,3.3,243300000000000000000,30000000000000,4.0
plastic,0.479,279,1.56,3.3,45330000000000000000,5591000000000,4.0
plastic,0.598,30,2.348,3.3,634500000000000000000,78260000000000,4.8
plastic,0.571,30,2.409,3.3,651200000000000000000,80320000000000,4.8
plastic,1.095,30,2.327,3.3,628900000000000000000,77560000000000,6.8
plastic,0.572,30,2.41,3.3,651300000000000000000,80320000000000,4.0
plastic,0.821,187,2.32,3.3,100600000000000000000,12410000000000,5.0
plastic,0.281,30,2.328,3.3,629300000000000000000,77610000000000,4.4
plastic,0.423,30,2.342,3.3,632900000000000000000,78060000000000,4.0
plastic,0.656,30,2.351,3.3,635500000000000000000,78370000000000,5.5
plastic,0.389,463,2.405,3.3,42120000000000000000,5194000000000,3.8
plastic,0.76,30,2.445,3.3,660700000000000000000,81490000000000,6.2
plastic,0.52,80,1.535,3.3,155600000000000000000,19190000000000,4.0
plastic,0.899,187,2.375,3.3,103000000000000000000,12700000000000,4.8
plastic,0.283,30,2.336,3.3,631300000000000000000,77860000000000,5.0
plastic,0.316,30,2.326,3.3,628600000000000000000,77530000000000,4.5
plastic,0.25,30,2.328,3.3,629300000000000000000,77610000000000,5.5
plastic,0.276,30,2.352,3.3,635700000000000000000,78400000000000,4.4
plastic,0.76,279,2.353,3.3,68400000000000000000,8435000000000,4.4
plastic,0.588,279,1.559,3.3,45290000000000000000,5586000000000,4.5
plastic,0.283,30,2.377,3.3,642400000000000000000,79230000000000,3.8
plastic,0.573,279,1.601,3.3,46530000000000000000,5739000000000,4.4
plastic,0.3,30,2.338,3.3,631900000000000000000,77930000000000,4.8
plastic,0.435,30,2.366,3.3,639500000000000000000,78880000000000,4.8
plastic,0.29,30,2.336,3.3,631400000000000000000,77870000000000,4.5
plastic,0.292,30,2.285,3.3,617700000000000000000,76180000000000,3.8
plastic,0.761,279,2.327,3.3,67630000000000000000,8341000000000,3.8
plastic,0.544,30,2.396,3.3,647400000000000000000,79850000000000,5.5
plastic,0.704,30,2.402,3.3,649300000000000000000,80070000000000,4.4
plastic,0.269,30,2.348,3.3,634600000000000000000,78260000000000,4.8
plastic,0.3,30,2.296,3.3,620600000000000000000,76540000000000,4.0
plastic,0.283,30,2.278,3.3,615700000000000000000,75930000000000,0.0
plastic,0.997,187,2.354,3.3,102100000000000000000,12590000000000,6.2
plastic,0.267,30,2.299,3.3,621400000000000000000,76640000000000,4.8
plastic,0.643,30,2.461,3.3,665100000000000000000,82030000000000,7.0
plastic,0.761,30,2.411,3.3,651500000000000000000,80350000000000,4.3
plastic,0.898,279,2.367,3.3,68780000000000000000,8483000000000,6.2
plastic,0.565,80,2.41,3.3,244200000000000000000,30120000000000,4.4
plastic,0.667,279,2.331,3.3,67730000000000000000,8353000000000,4.5
plastic,0.817,279,2.363,3.3,68670000000000000000,8469000000000,5.5
plastic,1.064,279,2.286,3.3,66420000000000000000,8192000000000,5.0
plastic,0.571,30,2.42,3.3,654100000000000000000,80660000000000,4.5
plastic,0.789,279,2.37,3.3,68870000000000000000,8494000000000,5.5
plastic,0.768,279,2.328,3.3,67650000000000000000,8343000000000,5.0
plastic,0.266,30,2.342,3.3,632900000000000000000,78050000000000,4.0
plastic,0.779,30,2.42,3.3,653900000000000000000,80650000000000,6.8
plastic,0.801,30,2.414,3.3,652400000000000000000,80460000000000,6.8
plastic,0.633,187,2.439,3.3,105800000000000000000,13040000000000,6.8
plastic,0.562,279,2.391,3.3,69490000000000000000,8571000000000,6.2
plastic,0.28,30,2.346,3.3,634100000000000000000,78200000000000,5.0
plastic,0.544,30,2.373,3.3,641300000000000000000,79090000000000,5.5
plastic,0.277,30,2.316,3.3,626100000000000000000,77210000000000,4.4
plastic,0.257,30,2.333,3.3,630500000000000000000,77760000000000,4.4
plastic,0.706,30,2.343,3.3,633200000000000000000,78090000000000,7.8
plastic,0.27,30,2.311,3.3,624500000000000000000,77020000000000,4.4
plastic,0.587,279,1.597,3.3,46410000000000000000,5724000000000,4.0
plastic,0.49,279,1.524,3.3,44290000000000000000,5462000000000,4.4
plastic,0.577,80,1.555,3.3,157600000000000000000,19430000000000,4.8
plastic,0.656,30,2.366,3.3,639600000000000000000,78880000000000,4.8
plastic,0.775,279,2.343,3.3,68090000000000000000,8397000000000,3.8
plastic,0.662,30,2.333,3.3,630500000000000000000,77760000000000,6.2
plastic,0.502,80,2.402,3.3,243500000000000000000,30030000000000,4.0
plastic,0.477,30,2.364,3.3,639000000000000000000,78810000000000,3.8
