target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.715,30,2.391,3.3,646300000000000000000,79710000000000,6.2
plastic,0.599,30,2.305,3.3,622900000000000000000,76830000000000,8.0
plastic,0.534,30,2.344,3.3,633600000000000000000,78140000000000,3.8
plastic,0.261,30,2.365,3.3,639100000000000000000,78820000000000,4.4
aluminium,5.0,1500,270.0,60.0,4415000000000000000,180000000000000,16.0
plastic,0.709,30,2.465,3.3,666300000000000000000,82180000000000,6.2
plastic,0.588,187,2.415,3.3,104700000000000000000,12910000000000,6.8
plastic,1.062,279,2.327,3.3,67630000000000000000,8341000000000,3.8
plastic,0.554,30,2.342,3.3,633000000000000000000,78070000000000,6.1
polypropylene,0.3,500,155.52,4.168,1581000000000000000000,311000000000000,54.5
ch,10.0,660,409.0,50.0,21890000000000000000,619700000000000,40.0
plastic,0.283,30,2.377,3.3,642400000000000000000,79230000000000,3.8
plastic,0.267,30,2.299,3.3,621400000000000000000,76640000000000,4.8
gold,4.0,475,54.594,2.395,1769000000000000000000,114900000000000,41.5
plastic,0.261,30,2.348,3.3,634700000000000000000,78280000000000,4.4
plastic,0.561,30,2.399,3.3,648300000000000000000,79960000000000,5.4
plastic,0.569,30,2.341,3.3,632600000000000000000,78020000000000,6.8
polystyrene,0.3,500,112.59,3.354,1768000000000000000000,225200000000000,55.0
plastic,0.273,30,2.339,3.3,632200000000000000000,77970000000000,6.2
plastic,0.632,30,2.433,3.3,657600000000000000000,81110000000000,4.0
titanium,33.0,9600,2600.0,100.0,2391000000000000000,270800000000000,14.0
plastic,0.57,30,2.361,3.3,638200000000000000000,78720000000000,6.8
plastic,0.898,279,2.367,3.3,68780000000000000000,8483000000000,6.2
plastic,0.779,279,2.329,3.3,67670000000000000000,8346000000000,4.8
plastic,0.699,279,2.358,3.3,68530000000000000000,8451000000000,4.8
