target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.537,30,2.427,3.300,656100000000000000000,80910000000000,3.30
plastic,0.293,30,2.395,3.300,647300000000000000000,79830000000000,3.40
plastic,0.610,30,2.425,3.300,655400000000000000000,80830000000000,3.40
plastic,0.509,30,2.344,3.300,633500000000000000000,78130000000000,3.40
plastic,0.527,30,2.351,3.300,635600000000000000000,78380000000000,3.40
plastic,0.106,30,2.403,3.300,649600000000000000000,80110000000000,3.50
plastic,0.531,80,2.402,3.300,243500000000000000000,30030000000000,3.50
plastic,0.275,30,2.407,3.300,650400000000000000000,80220000000000,3.50
plastic,0.525,30,2.366,3.300,639600000000000000000,78880000000000,3.50
plastic,0.587,279,1.564,3.300,45460000000000000000,5607000000000,3.50
plastic,0.568,279,1.537,3.300,44670000000000000000,5510000000000,3.50
plastic,0.609,279,1.534,3.300,44580000000000000000,5498000000000,3.50
plastic,0.576,30,2.413,3.300,652100000000000000000,80430000000000,3.60
plastic,0.790,30,2.418,3.300,653400000000000000000,80590000000000,3.60
plastic,0.447,30,2.419,3.300,653800000000000000000,80630000000000,3.60
plastic,0.422,463,2.434,3.300,42630000000000000000,5257000000000,3.60
plastic,0.752,279,2.387,3.300,69360000000000000000,8554000000000,3.60
plastic,0.535,279,1.565,3.300,45490000000000000000,5610000000000,3.60
plastic,0.557,279,1.564,3.300,45440000000000000000,5604000000000,3.60
plastic,0.595,279,1.559,3.300,45320000000000000000,5589000000000,3.60
plastic,0.555,30,2.384,3.300,644300000000000000000,79460000000000,3.70
plastic,0.547,30,2.381,3.300,643600000000000000000,79380000000000,3.70
plastic,0.569,30,2.400,3.300,648600000000000000000,79990000000000,3.70
plastic,0.627,30,2.394,3.300,647000000000000000000,79790000000000,3.70
plastic,1.012,30,2.384,3.300,644300000000000000000,79470000000000,3.70
plastic,0.516,30,2.364,3.300,639000000000000000000,78810000000000,3.80
plastic,0.595,30,2.415,3.300,652600000000000000000,80490000000000,3.80
plastic,0.774,30,2.395,3.300,647300000000000000000,79830000000000,3.80
plastic,0.565,187,2.431,3.300,105400000000000000000,13000000000000,3.80
plastic,0.584,279,2.399,3.300,69710000000000000000,8597000000000,3.80
plastic,0.581,463,2.398,3.300,41990000000000000000,5179000000000,3.80
plastic,0.456,463,2.388,3.300,41810000000000000000,5157000000000,3.80
plastic,0.389,463,2.405,3.300,42120000000000000000,5194000000000,3.80
plastic,0.332,463,2.402,3.300,42070000000000000000,5188000000000,3.80
plastic,0.552,463,2.423,3.300,42430000000000000000,5233000000000,3.80
plastic,0.516,30,2.326,3.300,628600000000000000000,77520000000000,3.80
plastic,0.545,30,2.355,3.300,636600000000000000000,78510000000000,3.80
plastic,0.623,30,2.376,3.300,642300000000000000000,79220000000000,3.80
plastic,0.515,30,2.337,3.300,631600000000000000000,77900000000000,3.80
plastic,0.526,30,2.366,3.300,639500000000000000000,78870000000000,3.80
plastic,0.283,30,2.377,3.300,642400000000000000000,79230000000000,3.80
plastic,0.563,30,2.345,3.300,633800000000000000000,78170000000000,3.80
plastic,0.559,30,2.335,3.300,631000000000000000000,77820000000000,3.80
plastic,0.551,30,2.359,3.300,637700000000000000000,78640000000000,3.80
plastic,0.292,30,2.326,3.300,628700000000000000000,77540000000000,3.80
plastic,0.514,30,2.412,3.300,651900000000000000000,80390000000000,3.80
plastic,0.534,30,2.344,3.300,633600000000000000000,78140000000000,3.80
plastic,0.684,30,2.336,3.300,631300000000000000000,77850000000000,3.80
plastic,0.677,30,2.313,3.300,625200000000000000000,77110000000000,3.80
plastic,0.632,30,2.316,3.300,626000000000000000000,77200000000000,3.80
plastic,0.415,30,2.352,3.300,635700000000000000000,78400000000000,3.80
plastic,0.477,30,2.364,3.300,639000000000000000000,78810000000000,3.80
plastic,0.526,30,2.344,3.300,633600000000000000000,78140000000000,3.80
plastic,0.443,30,2.356,3.300,636800000000000000000,78540000000000,3.80
plastic,0.324,30,2.369,3.300,640300000000000000000,78970000000000,3.80
plastic,0.585,30,2.295,3.300,620200000000000000000,76490000000000,3.80
plastic,0.607,30,2.361,3.300,638100000000000000000,78700000000000,3.80
plastic,0.125,30,2.321,3.300,627200000000000000000,77360000000000,3.80
plastic,0.253,30,2.348,3.300,634700000000000000000,78270000000000,3.80
plastic,0.292,30,2.285,3.300,617700000000000000000,76180000000000,3.80
plastic,0.272,30,2.248,3.300,607600000000000000000,74930000000000,3.80
plastic,0.266,30,2.298,3.300,621100000000000000000,76600000000000,3.80
plastic,0.125,30,2.352,3.300,635800000000000000000,78410000000000,3.80
plastic,0.344,30,2.317,3.300,626100000000000000000,77220000000000,3.80
plastic,0.130,30,2.291,3.300,619300000000000000000,76380000000000,3.80
plastic,0.288,30,2.303,3.300,622500000000000000000,76770000000000,3.80
plastic,0.267,30,2.295,3.300,620200000000000000000,76480000000000,3.80
plastic,0.291,30,2.299,3.300,621200000000000000000,76620000000000,3.80
plastic,0.262,30,2.326,3.300,628600000000000000000,77520000000000,3.80
plastic,0.263,30,2.330,3.300,629700000000000000000,77660000000000,3.80
plastic,0.259,30,2.318,3.300,626500000000000000000,77260000000000,3.80
plastic,0.264,30,2.312,3.300,624800000000000000000,77060000000000,3.80
plastic,0.273,30,2.317,3.300,626100000000000000000,77220000000000,3.80
plastic,0.756,187,2.328,3.300,101000000000000000000,12450000000000,3.80
plastic,1.062,279,2.327,3.300,67630000000000000000,8341000000000,3.80
plastic,0.509,463,2.365,3.300,41410000000000000000,5107000000000,3.80
plastic,0.686,279,2.373,3.300,68960000000000000000,8505000000000,3.80
plastic,0.745,279,2.353,3.300,68370000000000000000,8433000000000,3.80
plastic,0.660,279,2.324,3.300,67530000000000000000,8328000000000,3.80
plastic,0.775,279,2.343,3.300,68090000000000000000,8397000000000,3.80
plastic,0.740,279,2.361,3.300,68610000000000000000,8461000000000,3.80
plastic,0.761,279,2.327,3.300,67630000000000000000,8341000000000,3.80
plastic,0.670,279,2.312,3.300,67180000000000000000,8286000000000,3.80
plastic,0.674,279,2.359,3.300,68570000000000000000,8457000000000,3.80
plastic,0.635,279,2.356,3.300,68480000000000000000,8446000000000,3.80
plastic,0.518,279,1.606,3.300,46690000000000000000,5758000000000,3.80
plastic,0.535,279,1.577,3.300,45830000000000000000,5653000000000,3.80
plastic,0.514,279,1.574,3.300,45740000000000000000,5641000000000,3.80
plastic,0.564,279,1.574,3.300,45740000000000000000,5641000000000,3.80
plastic,0.678,279,1.569,3.300,45580000000000000000,5622000000000,3.80
plastic,0.606,279,1.540,3.300,44750000000000000000,5519000000000,3.80
plastic,0.281,30,1.556,3.300,420700000000000000000,51880000000000,3.80
plastic,0.256,30,1.442,3.300,389800000000000000000,48070000000000,3.80
plastic,0.738,30,2.397,3.300,647800000000000000000,79900000000000,3.90
plastic,0.632,30,2.433,3.300,657600000000000000000,81110000000000,4.00
plastic,0.597,30,2.402,3.300,649100000000000000000,80060000000000,4.00
plastic,0.769,30,2.400,3.300,648700000000000000000,80010000000000,4.00
plastic,0.763,30,2.422,3.300,654700000000000000000,80740000000000,4.00
plastic,0.744,30,2.417,3.300,653200000000000000000,80560000000000,4.00
plastic,0.502,80,2.402,3.300,243500000000000000000,30030000000000,4.00
plastic,0.536,30,2.423,3.300,654900000000000000000,80770000000000,4.00
plastic,0.572,30,2.410,3.300,651300000000000000000,80320000000000,4.00
plastic,0.475,30,2.423,3.300,654800000000000000000,80760000000000,4.00
plastic,0.348,80,2.420,3.300,245200000000000000000,30240000000000,4.00
plastic,0.561,80,2.400,3.300,243300000000000000000,30000000000000,4.00
plastic,0.676,187,2.380,3.300,103200000000000000000,12730000000000,4.00
plastic,0.677,187,2.413,3.300,104600000000000000000,12900000000000,4.00
plastic,0.538,30,2.366,3.300,639600000000000000000,78880000000000,4.00
plastic,0.282,30,2.348,3.300,634600000000000000000,78270000000000,4.00
plastic,0.498,30,2.324,3.300,628100000000000000000,77470000000000,4.00
plastic,0.423,30,2.342,3.300,632900000000000000000,78060000000000,4.00
plastic,0.503,30,2.331,3.300,630000000000000000000,77700000000000,4.00
plastic,0.542,30,2.349,3.300,634800000000000000000,78300000000000,4.00
plastic,0.545,30,2.377,3.300,642500000000000000000,79230000000000,4.00
plastic,0.573,30,2.333,3.300,630700000000000000000,77780000000000,4.00
plastic,0.540,30,2.338,3.300,631800000000000000000,77930000000000,4.00
plastic,0.534,30,2.299,3.300,621300000000000000000,76630000000000,4.00
plastic,0.479,30,2.339,3.300,632100000000000000000,77960000000000,4.00
plastic,0.345,30,2.365,3.300,639200000000000000000,78830000000000,4.00
plastic,0.605,30,2.340,3.300,632500000000000000000,78010000000000,4.00
plastic,0.453,30,2.295,3.300,620400000000000000000,76510000000000,4.00
plastic,0.270,30,2.264,3.300,611800000000000000000,75450000000000,4.00
plastic,0.270,30,2.265,3.300,612200000000000000000,75500000000000,4.00
plastic,0.275,30,2.274,3.300,614500000000000000000,75790000000000,4.00
plastic,0.257,30,2.312,3.300,624800000000000000000,77050000000000,4.00
plastic,0.338,30,2.284,3.300,617200000000000000000,76120000000000,4.00
plastic,0.256,30,2.301,3.300,622000000000000000000,76710000000000,4.00
plastic,0.279,30,2.335,3.300,631100000000000000000,77840000000000,4.00
plastic,0.284,30,2.318,3.300,626400000000000000000,77250000000000,4.00
plastic,0.300,30,2.296,3.300,620600000000000000000,76540000000000,4.00
plastic,0.286,30,2.297,3.300,620900000000000000000,76580000000000,4.00
plastic,0.274,30,2.271,3.300,613900000000000000000,75710000000000,4.00
plastic,0.283,30,2.309,3.300,624200000000000000000,76980000000000,4.00
plastic,0.278,30,2.295,3.300,620400000000000000000,76510000000000,4.00
plastic,0.265,30,2.262,3.300,611400000000000000000,75410000000000,4.00
plastic,0.282,30,2.329,3.300,629500000000000000000,77630000000000,4.00
plastic,0.279,30,2.257,3.300,610000000000000000000,75240000000000,4.00
plastic,0.287,30,2.312,3.300,624800000000000000000,77060000000000,4.00
plastic,0.269,30,2.325,3.300,628500000000000000000,77510000000000,4.00
plastic,0.266,30,2.342,3.300,632900000000000000000,78050000000000,4.00
plastic,1.041,279,2.318,3.300,67380000000000000000,8310000000000,4.00
plastic,0.898,142,2.357,3.300,134600000000000000000,16600000000000,4.00
plastic,0.862,142,2.365,3.300,135100000000000000000,16660000000000,4.00
plastic,0.793,279,2.300,3.300,66830000000000000000,8242000000000,4.00
plastic,1.004,279,2.329,3.300,67690000000000000000,8348000000000,4.00
plastic,0.741,279,2.352,3.300,68340000000000000000,8428000000000,4.00
plastic,0.739,279,2.346,3.300,68190000000000000000,8410000000000,4.00
plastic,0.749,279,2.342,3.300,68070000000000000000,8395000000000,4.00
plastic,0.629,279,2.351,3.300,68310000000000000000,8425000000000,4.00
plastic,0.520,80,1.535,3.300,155600000000000000000,19190000000000,4.00
plastic,0.446,80,1.543,3.300,156400000000000000000,19290000000000,4.00
plastic,0.467,80,1.562,3.300,158300000000000000000,19520000000000,4.00
plastic,0.550,80,1.554,3.300,157500000000000000000,19430000000000,4.00
plastic,0.593,187,1.552,3.300,67290000000000000000,8299000000000,4.00
plastic,0.510,187,1.538,3.300,66670000000000000000,8223000000000,4.00
plastic,0.280,187,1.537,3.300,66640000000000000000,8218000000000,4.00
plastic,0.499,279,1.525,3.300,44330000000000000000,5467000000000,4.00
plastic,0.450,279,1.523,3.300,44270000000000000000,5460000000000,4.00
plastic,0.289,279,1.548,3.300,44990000000000000000,5549000000000,4.00
plastic,0.433,279,1.537,3.300,44670000000000000000,5509000000000,4.00
plastic,0.433,279,1.570,3.300,45620000000000000000,5627000000000,4.00
plastic,0.454,279,1.558,3.300,45270000000000000000,5583000000000,4.00
plastic,0.509,279,1.550,3.300,45050000000000000000,5557000000000,4.00
plastic,0.574,279,1.603,3.300,46580000000000000000,5745000000000,4.00
plastic,0.565,279,1.562,3.300,45400000000000000000,5599000000000,4.00
plastic,0.543,279,1.580,3.300,45900000000000000000,5661000000000,4.00
plastic,0.503,279,1.564,3.300,45450000000000000000,5605000000000,4.00
plastic,0.476,279,1.552,3.300,45100000000000000000,5563000000000,4.00
plastic,0.469,279,1.518,3.300,44120000000000000000,5441000000000,4.00
plastic,0.479,279,1.560,3.300,45330000000000000000,5591000000000,4.00
plastic,0.526,279,1.522,3.300,44230000000000000000,5455000000000,4.00
plastic,0.513,279,1.552,3.300,45110000000000000000,5564000000000,4.00
plastic,0.591,279,1.581,3.300,45940000000000000000,5666000000000,4.00
plastic,0.562,279,1.584,3.300,46040000000000000000,5678000000000,4.00
plastic,0.534,279,1.552,3.300,45090000000000000000,5561000000000,4.00
