,model,sample_size,n_samples,KL Divergence,Wasserstein,MMD
0,claude-3-5-sonnet-20240620,rs_size_10,4498,5.272286989881475,0.05781597311394349,0.018011400733567662
10,claude-3-sonnet-20240229,rs_size_5,3455,6.912698502910337,0.22956216441047925,0.06902786487982437
25,gpt-4o,rs_size_100,4065,6.990900389811545,0.18951139836684477,0.09909816383940817
26,gpt-4o,rs_size_150,3965,7.399336039789878,0.28667732161470333,0.15878919533589242
56,mixtral:8x22b,rs_size_5,2908,7.937686013617978,0.35501646868896175,0.1521006772535387
29,gpt-4o,rs_size_50,4001,8.033333276564804,0.20131340139270756,0.05529687365696856
27,gpt-4o,rs_size_25,3723,8.083832534376185,0.11213607848702775,0.026115426894183003
23,gpt-3.5-turbo-0125,rs_size_50,4049,8.502333653718619,0.15265155423628235,0.0760519607644039
55,mixtral:8x22b,rs_size_25,2955,8.522591898102997,0.10174237809877804,0.04070732521773701
57,mixtral:8x22b,rs_size_50,3363,8.659685118828875,0.20034689451683868,0.06482474301620789
9,claude-3-sonnet-20240229,rs_size_25,4069,9.109916879447232,0.13243840572450633,0.0522282924856734
22,gpt-3.5-turbo-0125,rs_size_5,3809,9.574223310527207,0.22482834179584202,0.08487737446448396
59,phi3:medium-128k,rs_size_25,3432,9.716437179329445,0.0727465170060032,0.02115177044585237
8,claude-3-sonnet-20240229,rs_size_150,4353,9.926148669501066,0.29455216702518755,0.2162062932422668
19,gpt-3.5-turbo-0125,rs_size_100,3662,10.066114608136061,0.19296887465780996,0.21544073091922367
5,claude-3-5-sonnet-20240620,rs_size_50,4500,10.295814197373595,0.06972822714592086,0.020198463112376608
18,gpt-3.5-turbo-0125,rs_size_10,3791,10.456553437438714,0.09725738782437639,0.027620920532383852
43,llama3:8b,rs_size_25,2352,10.849917230371865,0.11392744800021272,0.03586536944892971
11,claude-3-sonnet-20240229,rs_size_50,4344,10.971053292144877,0.1733829773261255,0.0657810252801001
6,claude-3-sonnet-20240229,rs_size_10,3736,11.112261909753354,0.2254301688228615,0.10575452685916131
28,gpt-4o,rs_size_5,3773,11.330722132078378,0.29229769979638026,0.10263116508994163
24,gpt-4o,rs_size_10,3971,12.132701618998015,0.23712849099983094,0.08994253970824428
50,mistral:7b,rs_size_5,914,12.436720340590645,0.3453605212060475,0.18389185835388688
3,claude-3-5-sonnet-20240620,rs_size_25,4500,12.60241061369623,0.05844894296866358,0.014045252377676176
58,phi3:medium-128k,rs_size_10,3328,13.275346002516331,0.19885516173135034,0.1178825324277255
46,mistral:7b,rs_size_10,544,13.858142640717286,0.15547134373046514,0.05608069984883568
52,mixtral:8x22b,rs_size_10,3059,14.31351589243078,0.18281605250076274,0.109857841271781
7,claude-3-sonnet-20240229,rs_size_100,4243,14.769734687176726,0.2276041321942785,0.13167707566807385
