,model,n_samples,KL Divergence,Wasserstein,MMD
3,gpt-3.5-turbo-0125,23080,4.651508842768831,0.15900974476343097,0.08473294649001994
1,claude-3-sonnet-20240229,24200,5.5829634033036,0.2122699525850457,0.0941452478473146
0,claude-3-5-sonnet-20240620,26997,7.454937842308485,0.07516981874724037,0.02930538162546248
5,llama2:13b,3260,8.847590532628264,0.24541715868271674,0.07033638108415419
6,llama3:70b,11697,12.795980467200023,0.2172946575596823,0.10555173484696945
10,phi3:medium-128k,10478,12.871682546155098,0.2574661997676184,0.11181027443376124
7,llama3:8b,13397,14.019353329010347,0.31733993158377866,0.13268857713277393
4,gpt-4o,23498,14.0717573008471,0.21970504100664826,0.0787091304596188
11,phi3:mini-128k,59,16.35086490827447,0.3779950251629231,0.0802089974713518
8,mistral:7b,3158,21.50604821878648,0.31278618855847434,0.08988221635079463
9,mixtral:8x22b,18918,21.99239492853448,0.25194652693286723,0.1489802987253106
2,gemma:7b,1118,30.342838617070004,0.23157854990042998,0.08953083438766685
