,prompt_method,n_samples,KL Divergence,Wasserstein,MMD
9,self_consistency,14979,4.426691210200262,0.10285759197912762,0.028741416231821137
5,least_to_most,12193,5.281794828366926,0.1812773103628488,0.06250875142971024
10,skeleton_of_thought,14250,5.409794426901491,0.16792606773974125,0.06967908794045186
0,chain_of_thought,10261,5.45144936762192,0.19277016575729908,0.06604490416712827
6,recursive_criticism_and_improvement,12317,5.490487293335918,0.20785801959361144,0.09821934657173426
8,reverse_prompting,9721,5.613981586416634,0.19796567518919767,0.05998226295123921
7,rephrase_and_respond,16973,7.919525367524715,0.1954622767158802,0.09968877028072987
3,emotion_prompt,16689,10.334756222598836,0.2996694739586227,0.16689056140609604
1,chain_of_verification,10807,10.375163139047675,0.23462540737020526,0.07832958133276047
4,generated_knowledge,15914,11.173882500415395,0.1598119456551251,0.05950185491406712
11,step_back_prompting,11481,18.199964605087597,0.21462666986875362,0.06965644044255281
2,directional_stimuli,14275,20.67601119144062,0.24050531745464795,0.14125927866190247
